Lon	Lat
-90.814959	38.461996
-90.814652	38.461909
-90.81437	38.461961
-90.814155	38.462113
-90.813528	38.462273
-88.062933	41.81383
-88.063804	41.813961
-88.06017	41.815863
-88.061147	41.814978
-88.050902	41.819275
-88.052361	41.820968
-89.4135025	37.67609424
-89.41296532	37.6760035
-89.41312869	37.6805839
-89.41114404	37.68548051
-89.41275925	37.6817841
-89.2909	36.644025
-89.290992	36.643929
-89.290721	36.644689
-89.292919	36.644965
-89.294533	36.64505
-89.28758916	36.64308589
-89.28656344	36.64427285
-89.2904011	36.64101675
-89.29029231	36.64145662
-93.63017301	42.03107238
-93.63040998	42.03371379
-93.63024501	42.03431925
-93.62820226	42.02939736
-93.62824477	42.02873078
-91.792402	40.707564
-91.793153	40.70735
-91.7216927	41.97471713
-91.72514806	41.97330457
-91.722929	41.973906
-91.797435	41.983481
-90.535657	38.545697
-90.537024	38.546835
-90.536986	38.547166
-92.774439	37.990282
-98.354117	35.435378
-98.352764	35.450242
-98.35433	35.456636
-98.353656	35.457221
-98.35242	35.457323
-96.426448	36.845101
-96.426594	36.845784
-96.428747	36.846022
-96.429275	36.846654
-96.426753	36.844363
-86.357923	36.375797
-86.357897	36.375555
-86.352131	36.376501
-86.35191	36.376798
-86.351108	36.377782
-86.51346	38.059359
-84.506476	38.061765
-84.507112	38.061055
-84.508551	38.058274
-84.476246	38.055834
-84.203992	38.278214
-84.203368	38.278441
-84.209079	38.272667
-84.208158	38.273397
-84.209338	38.274021
-84.759088	38.13961
-84.759963	38.139913
-84.760327	38.139006
-84.73549	38.137895
-84.734805	38.138075
-87.506533	37.899307
-87.504164	37.898916
-87.50292	37.898798
-87.502158	37.502158
-87.501429	37.898645
-90.043608	43.148664
-90.043418	43.148781
-91.638919	43.902219
-91.640004	43.903267
-91.639274	43.904382
-91.63926	43.904261
-91.642792	43.892258
-91.507324	46.331697
-91.507253	46.331711
-91.506894	46.330844
-91.506574	46.331659
-91.506962	46.330622
-91.507786	46.330665
-88.43851	43.016383
-88.434153	43.016533
-88.435539	43.016871
-88.436648	43.017411
-88.440778	43.017807
-84.356968	41.550873
-84.355617	41.551419
-84.354976	41.551719
-84.354208	41.551874
-84.353673	41.552622
-83.986305	42.407538
-84.00232	42.4465
-83.999114	42.44626
-83.998517	42.446265
-83.997734	42.446328
-84.389009	42.765066
-94.789402	38.980804
-94.790359	38.981181
-94.791896	38.981467
-94.793731	38.981904
-94.794164	38.981944
-96.607647	39.106899
-96.606832	39.107656
-96.604942	39.107911
-96.604185	39.107839
-96.602194	39.108092
-78.971293	43.057823
-78.972202	43.059487
-78.972551	43.060034
-78.973082	43.061137
-78.981437	43.056674
-76.905845	42.740505
-76.904985	42.740713
-76.901053	42.741551
-76.903081	42.734695
-76.902518	42.733991
-76.074805	44.101259
-76.075818	44.099712
-76.076791	44.098864
-76.078697	44.098673
-76.079857	44.097947
-73.181963	43.601897
-73.182905	43.600835
-73.183676	43.6
-73.184667	43.599099
-73.186823	43.598003
-73.350321	42.05793
-73.315912	42.287503
-73.315492	42.286953
-73.317187	42.286675
-73.317931	42.289945
-73.319391	42.290072
-73.367427	42.08412
-73.385045	42.084548
-73.385464	42.084218
-73.385533	42.084745
-73.385541	42.084996
-92.326645	34.804342
-92.327103	34.805006
-92.33009	34.806243
-92.327239	34.802582
-92.323036	34.80609
-95.580349	29.37387
-95.57906	29.373914
-95.576747	29.374411
-95.576691	29.375258
-95.586521	29.378315
-97.583332	29.588172
-97.582912	29.587411
-97.584186	29.586588
-97.584161	29.587539
-97.583517	29.588876
-96.975786	32.638187
-96.974027	32.635409
-96.975904	32.632035
-96.979469	32.622964
-96.991123	32.610727
-87.911914	42.182007
-87.910276	42.1819
-87.907514	42.181494
-87.907092	42.181116
-87.906599	42.179961
-86.933767	40.437839
-85.511078	40.457367
-85.511742	40.457882
-85.511151	40.458125
-86.542604	39.220007
-86.542771	39.221723
-86.53788	39.197561
-86.539025	39.197401
-86.524118	39.168305
-88.367814	39.839267
-88.367954	39.839403
-88.368016	39.839037
-88.368621	39.839492
-88.369114	39.839765
-93.182769	45.398058
-93.182551	45.397713
-93.183118	45.398911
-93.183355	45.40102
-93.183261	45.400162
-95.24349	49.71359
-95.24385	49.71376
-95.24432	49.71278
-95.2445	49.71278
-95.24463	49.71216
-95.2448	49.71204
-95.24492	49.71195
-95.24496	49.71209
-95.24472	49.71187
-95.24456	49.71187
-99.15971	49.76104
-99.15983	49.76095
-99.15928	49.76061
-99.1604	49.76137
-99.16142	49.76117
-99.15886	49.76147
-99.15848	49.76103
-99.15858	49.76043
-99.15826	49.76006
-99.15844	49.76055
-97.24911	49.85783
-97.24911	49.85783
-97.24848	49.85778
-97.2482	49.85423
-97.24828	49.85392
-97.24744	49.85399
-97.24689	49.85417
-97.24621	49.85421
-97.24739	49.85374
-97.24661	49.85344
-91.14557	46.02383
-91.14559	46.02195
-91.14288	46.0259
-91.14168	46.02631
-91.12828	46.02451
-91.12945	46.0244
-98.58906	38.963586
-98.58906	38.963586
-98.58906	38.963586
-98.58906	38.963586
-98.58906	38.963586
-98.58906	38.963586
-98.58906	38.963586
-98.58906	38.963586
-98.58906	38.963586
-98.58906	38.963586
-97.588909	38.842944
-97.588909	38.842944
-97.588909	38.842944
-97.588909	38.842944
-97.588909	38.842944
-97.588909	38.842944
-97.45019	35.17703
-97.44921	35.17705
-97.44967	35.17722
-97.44977	35.17704
-97.4497	35.17688
-97.44988	35.17669
-97.45009	35.17635
-97.44996	35.17695
-97.45005	35.17714
-97.45003	35.17722
-91.36474	37.15767
-91.36474	37.15767
-91.36471	37.15687
-91.36501	37.15686
-91.36518	37.15726
-91.36513	37.15758
-87.2948	41.53273
-87.29377	41.53281
