SYST-MOR-0006830.bam	xxx
SYST-MOR-0006831.bam	xxx
SYST-MOR-0006832.bam	xxx
SYST-MOR-0006833.bam	xxx
SYST-MOR-0006834.bam	xxx
SYST-MOR-0006835.bam	xxx
SYST-MOR-0006836.bam	xxx
SYST-MOR-0006837.bam	xxx
SYST-MOR-0006838.bam	xxx
SYST-MOR-0006839.bam	xxx
SYST-MOR-0006840.bam	xxx
SYST-MOR-0006841.bam	xxx
SYST-MOR-0006842.bam	xxx
SYST-MOR-0006843.bam	xxx
SYST-MOR-0006844.bam	macrocarpa_RRC
SYST-MOR-0006845.bam	xxx
SYST-MOR-0006846.bam	xxx
SYST-MOR-0006847.bam	xxx
SYST-MOR-0006848.bam	xxx
SYST-MOR-0006849.bam	xxx
SYST-MOR-0006850.bam	xxx
SYST-MOR-0006851.bam	xxx
SYST-MOR-0006852.bam	macrocarpa_RRC
SYST-MOR-0006853.bam	macrocarpa_RRC
SYST-MOR-0006854.bam	macrocarpa_RRC
SYST-MOR-0006855.bam	xxx
SYST-MOR-0006856.bam	xxx
SYST-MOR-0006857.bam	macrocarpa_TGP
SYST-MOR-0006858.bam	macrocarpa_TGP
SYST-MOR-0006859.bam	xxx
SYST-MOR-0006860.bam	xxx
SYST-MOR-0006861.bam	macrocarpa_TGP
SYST-MOR-0006862.bam	macrocarpa_TGP
SYST-MOR-0006863.bam	xxx
SYST-MOR-0006864.bam	xxx
SYST-MOR-0006865.bam	stellata
SYST-MOR-0006866.bam	macrocarpa_TGP
SYST-MOR-0006867.bam	xxx
SYST-MOR-0006868.bam	xxx
SYST-MOR-0006869.bam	xxx
SYST-MOR-0006870.bam	macrocarpa_BCP
SYST-MOR-0006871.bam	xxx
SYST-MOR-0006872.bam	macrocarpa_BCP
SYST-MOR-0006873.bam	macrocarpa_BCP
SYST-MOR-0006874.bam	xxx
SYST-MOR-0006875.bam	macrocarpa_BCP
SYST-MOR-0006876.bam	xxx
SYST-MOR-0006877.bam	xxx
SYST-MOR-0006878.bam	macrocarpa_BCP
SYST-MOR-0006879.bam	xxx
SYST-MOR-0006880.bam	xxx
SYST-MOR-0006881.bam	xxx
SYST-MOR-0006882.bam	xxx
SYST-MOR-0006883.bam	xxx
SYST-MOR-0006884.bam	xxx
SYST-MOR-0006885.bam	xxx
SYST-MOR-0006886.bam	stellata
SYST-MOR-0006887.bam	xxx
SYST-MOR-0006888.bam	xxx
SYST-MOR-0006889.bam	xxx
SYST-MOR-0006890.bam	macrocarpa_LXC
SYST-MOR-0006891.bam	macrocarpa_LXC
SYST-MOR-0006892.bam	macrocarpa_LXC
SYST-MOR-0006893.bam	macrocarpa_LXC
SYST-MOR-0006894.bam	macrocarpa_CSW
SYST-MOR-0006895.bam	xxx
SYST-MOR-0006896.bam	xxx
SYST-MOR-0006897.bam	macrocarpa_BBF
SYST-MOR-0006898.bam	xxx
SYST-MOR-0006899.bam	macrocarpa_BBF
SYST-MOR-0006900.bam	xxx
SYST-MOR-0006901.bam	xxx
SYST-MOR-0006902.bam	xxx
SYST-MOR-0006903.bam	macrocarpa_BBF
SYST-MOR-0006904.bam	macrocarpa_BBF
SYST-MOR-0006905.bam	xxx
SYST-MOR-0006906.bam	macrocarpa_BBF
SYST-MOR-0006907.bam	macrocarpa_ASF
SYST-MOR-0006908.bam	macrocarpa_ASF
SYST-MOR-0006909.bam	macrocarpa_ASF
SYST-MOR-0006910.bam	xxx
SYST-MOR-0006911.bam	macrocarpa_ASF
SYST-MOR-0006912.bam	macrocarpa_ASF
SYST-MOR-0006913.bam	xxx
SYST-MOR-0006914.bam	xxx
SYST-MOR-0006915.bam	xxx
SYST-MOR-0006916.bam	xxx
SYST-MOR-0006917.bam	xxx
SYST-MOR-0006918.bam	xxx
SYST-MOR-0006919.bam	xxx
SYST-MOR-0006920.bam	xxx
SYST-MOR-0006921.bam	xxx
SYST-MOR-0006922.bam	xxx
SYST-MOR-0006923.bam	xxx
SYST-MOR-0006924.bam	michauxii
