,sample,alb,biclyr,lob,mac,micmon,muepri,sinstemar,pureCount,hybCount,hyb,sinstemar_1,muepri_1,alb_1,biclyr_1,lob_1,mac1_1,mac2_1,micmon_1,macComb,
32,SYST-MOR-0006731,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.07727,0.92267,1.00E-05,0.99994,TRUE
33,SYST-MOR-0006732,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.999929,1.00E-05,1.10E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
34,SYST-MOR-0006733,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.20E-05,0.995717,1.00E-05,1.00E-05,0.004221,1.00E-05,0.004231,TRUE
35,SYST-MOR-0006734,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
36,SYST-MOR-0006735,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.004273,0.212763,0.782914,1.00E-05,0.995677,TRUE
37,SYST-MOR-0006736,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.990224,1.00E-05,1.00E-05,0.009716,1.00E-05,1.00E-05,0.009726,TRUE
38,SYST-MOR-0006737,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.170188,0.829752,1.00E-05,0.99994,TRUE
39,SYST-MOR-0006738,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.28859,0.71135,1.00E-05,0.99994,TRUE
40,SYST-MOR-0006739,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
41,SYST-MOR-0006740,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.139016,0.860924,1.00E-05,0.99994,TRUE
42,SYST-MOR-0006741,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
43,SYST-MOR-0006742,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
44,SYST-MOR-0006743,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
45,SYST-MOR-0006744,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.999927,1.30E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
46,SYST-MOR-0006745,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
47,SYST-MOR-0006746,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
48,SYST-MOR-0006747,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
49,SYST-MOR-0006748,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
50,SYST-MOR-0006749,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
51,SYST-MOR-0006750,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
52,SYST-MOR-0006751,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
53,SYST-MOR-0006752,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
54,SYST-MOR-0006753,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.60E-05,1.00E-05,1.00E-05,1.00E-05,0.959708,0.040227,1.00E-05,0.999935,TRUE
55,SYST-MOR-0006754,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
56,SYST-MOR-0006755,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,0.99994,TRUE
57,SYST-MOR-0006756,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
58,SYST-MOR-0006757,none,pure?,none,none,none,none,none,1,0,pure,1.10E-05,1.00E-05,1.00E-05,0.999929,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
59,SYST-MOR-0006758,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.890353,0.109587,1.00E-05,0.99994,TRUE
60,SYST-MOR-0006759,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.955949,0.043991,1.00E-05,0.99994,TRUE
61,SYST-MOR-0006760,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
