File	Sample	samtools	readsmapped	read1	read2	properly_paired	pairsmapped	singleton	mateondifcsome	mateHQondifcsome (mapQ>=5)
SYST-MOR-0006924.bam	SYST-MOR-0006924	samtools 1.21	76064683	38297539	37767144	63865806	70807310	5257373	2476566	760913
SYST-MOR-0006925.bam	SYST-MOR-0006925	samtools 1.21	141596149	71408987	70187162	115009704	131138576	10457573	5596850	1699387
SYST-MOR-0006926.bam	SYST-MOR-0006926	samtools 1.21	74010776	37467372	36543404	59281806	68427176	5583600	3023216	950200
SYST-MOR-0006927.bam	SYST-MOR-0006927	samtools 1.21	87379024	44119708	43259316	69506802	80574078	6804946	3872780	1167806
SYST-MOR-0006928.bam	SYST-MOR-0006928	samtools 1.21	90391410	45591418	44799992	71762428	83697834	6693576	4000656	1299338
SYST-MOR-0006929.bam	SYST-MOR-0006929	samtools 1.21	78463976	39600055	38863921	61536322	72324866	6139110	3811818	1219728
SYST-MOR-0006930.bam	SYST-MOR-0006930	samtools 1.21	85515871	43054189	42461682	72002290	79509790	6006081	2819470	869165
SYST-MOR-0006931.bam	SYST-MOR-0006931	samtools 1.21	98506539	49605262	48901277	83028598	91548402	6958137	3184612	993999
SRR24768744.bam	SRR24768744	samtools 1.21	93960215	47719688	46240527	73087104	77437702	16522513	2911064	417827
SYST-MOR-0006932.bam	SYST-MOR-0006932	samtools 1.21	94870393	47802055	47068338	78109078	88061876	6808517	3526634	1108873
SYST-MOR-0006933.bam	SYST-MOR-0006933	samtools 1.21	127044186	64136351	62907835	101601506	117687342	9356844	5599650	1740311
SYST-MOR-0006934.bam	SYST-MOR-0006934	samtools 1.21	112293798	56693107	55600691	89181024	103966756	8327042	5174916	1621594
SYST-MOR-0006935.bam	SYST-MOR-0006935	samtools 1.21	100988014	50871395	50116619	82621482	93873884	7114130	3990220	1252470
SYST-MOR-0006936.bam	SYST-MOR-0006936	samtools 1.21	85529782	43159343	42370439	67200608	79042642	6487140	4085990	1292652
